"gene_type"	"gene_name"
"protein_coding"	"TMEM88B"
"lncRNA"	"LINC01770"
"protein_coding"	"VWA1"
"protein_coding"	"ATAD3C"
"protein_coding"	"ATAD3B"
"protein_coding"	"ATAD3A"
"protein_coding"	"TMEM240"
"protein_coding"	"SSU72"
"lncRNA"	"AL645728.1"
"protein_coding"	"FNDC10"
"lncRNA"	"AL691432.4"
"lncRNA"	"AL691432.2"
"protein_coding"	"MIB2"
"protein_coding"	"MMP23B"
"protein_coding"	"CDK11B"
"lncRNA"	"FO704657.1"
"protein_coding"	"SLC35E2B"
"protein_coding"	"CDK11A"
"protein_coding"	"SLC35E2A"
"protein_coding"	"NADK"
"protein_coding"	"GNB1"
"lncRNA"	"AL109917.1"
"protein_coding"	"CALML6"
"protein_coding"	"TMEM52"
"protein_coding"	"CFAP74"
"lncRNA"	"AL391845.2"
"protein_coding"	"GABRD"
"lncRNA"	"AL391845.1"
"protein_coding"	"PRKCZ"
"lncRNA"	"AL590822.2"
"lncRNA"	"PRKCZ-AS1"
"protein_coding"	"FAAP20"
"lncRNA"	"AL590822.1"
"protein_coding"	"SKI"
"lncRNA"	"AL590822.3"
"protein_coding"	"MORN1"
"lncRNA"	"AL589739.1"
"lncRNA"	"AL513477.2"
"protein_coding"	"RER1"
"protein_coding"	"PEX10"
"protein_coding"	"PLCH2"
"lncRNA"	"AL139246.1"
"lncRNA"	"AL139246.4"
"protein_coding"	"PANK4"
"protein_coding"	"HES5"
"lncRNA"	"AL139246.5"
"lncRNA"	"TNFRSF14-AS1"
"protein_coding"	"TNFRSF14"
"lncRNA"	"AL139246.3"
"protein_coding"	"PRXL2B"
"protein_coding"	"MMEL1"
"lncRNA"	"AL831784.1"
"protein_coding"	"TTC34"
"lncRNA"	"AC242022.2"
"lncRNA"	"AC242022.1"
"lncRNA"	"AL592464.2"
"lncRNA"	"AL592464.3"
"lncRNA"	"AL592464.1"
"lncRNA"	"AL589702.1"
"protein_coding"	"ACTRT2"
"lncRNA"	"PRDM16-DT"
"protein_coding"	"PRDM16"
"lncRNA"	"AL008733.1"
"lncRNA"	"AL590438.1"
"lncRNA"	"AL354743.2"
"lncRNA"	"AL354743.1"
"protein_coding"	"ARHGEF16"
"lncRNA"	"AL512413.1"
"protein_coding"	"MEGF6"
"lncRNA"	"AL513320.1"
"protein_coding"	"TPRG1L"
"protein_coding"	"WRAP73"
"protein_coding"	"TP73"
"lncRNA"	"AL136528.1"
"lncRNA"	"AL136528.2"
"protein_coding"	"CCDC27"
"protein_coding"	"SMIM1"
"protein_coding"	"LRRC47"
"lncRNA"	"AL365330.1"
"protein_coding"	"CEP104"
"protein_coding"	"DFFB"
"protein_coding"	"C1orf174"
"lncRNA"	"LINC01134"
"lncRNA"	"LINC01346"
"lncRNA"	"LINC01345"
"lncRNA"	"LINC02780"
"lncRNA"	"AL805961.1"
"lncRNA"	"LINC01777"
"lncRNA"	"AL355602.1"
"lncRNA"	"Z98747.1"
"lncRNA"	"LINC01646"
"protein_coding"	"AJAP1"
"lncRNA"	"Z98886.1"
"lncRNA"	"BX005132.1"
"lncRNA"	"LINC02781"
"lncRNA"	"LINC02782"
"lncRNA"	"AL139823.1"
"lncRNA"	"Z98259.3"
"lncRNA"	"Z98259.2"
"lncRNA"	"Z98259.1"
"lncRNA"	"AL365255.1"
"protein_coding"	"NPHP4"
"protein_coding"	"KCNAB2"
"protein_coding"	"CHD5"
"protein_coding"	"RPL22"
"lncRNA"	"AL031847.1"
"protein_coding"	"RNF207"
"protein_coding"	"ICMT"
"lncRNA"	"LINC00337"
"protein_coding"	"HES3"
"protein_coding"	"GPR153"
"protein_coding"	"ACOT7"
"lncRNA"	"AL031848.2"
"protein_coding"	"HES2"
"protein_coding"	"ESPN"
"lncRNA"	"AL031848.1"
"protein_coding"	"TNFRSF25"
"protein_coding"	"PLEKHG5"
"protein_coding"	"NOL9"
"protein_coding"	"TAS1R1"
"protein_coding"	"ZBTB48"
"protein_coding"	"KLHL21"
"protein_coding"	"PHF13"
"protein_coding"	"THAP3"
"protein_coding"	"DNAJC11"
"lncRNA"	"LINC01672"
"lncRNA"	"AL591163.1"
"lncRNA"	"CAMTA1-DT"
"protein_coding"	"CAMTA1"
"lncRNA"	"AL512330.1"
"lncRNA"	"CAMTA1-IT1"
"lncRNA"	"Z97987.1"
"lncRNA"	"AL365194.1"
"lncRNA"	"AL359881.3"
"lncRNA"	"AL359881.2"
"lncRNA"	"AL359881.1"
"protein_coding"	"VAMP3"
"lncRNA"	"Z98884.2"
"protein_coding"	"PER3"
"lncRNA"	"Z98884.1"
"protein_coding"	"UTS2"
"protein_coding"	"TNFRSF9"
"protein_coding"	"PARK7"
"lncRNA"	"AL034417.4"
"lncRNA"	"AL034417.3"
"protein_coding"	"ERRFI1"
"lncRNA"	"AL034417.2"
"lncRNA"	"LINC01714"
"lncRNA"	"AL358876.2"
"protein_coding"	"SLC45A1"
"protein_coding"	"RERE"
"lncRNA"	"RERE-AS1"
"lncRNA"	"AL357552.2"
"protein_coding"	"ENO1"
"lncRNA"	"ENO1-AS1"
"protein_coding"	"CA6"
"protein_coding"	"SLC2A7"
"protein_coding"	"SLC2A5"
"protein_coding"	"GPR157"
"lncRNA"	"MIR34AHG"
"lncRNA"	"LNCTAM34A"
"protein_coding"	"H6PD"
"protein_coding"	"SPSB1"
"lncRNA"	"BX323043.1"
"lncRNA"	"LINC02606"
"lncRNA"	"AL928921.1"
"protein_coding"	"SLC25A33"
"protein_coding"	"TMEM201"
"protein_coding"	"PIK3CD"
"lncRNA"	"PIK3CD-AS1"
"lncRNA"	"PIK3CD-AS2"
"protein_coding"	"CLSTN1"
"protein_coding"	"CTNNBIP1"
"lncRNA"	"AL357140.1"
"lncRNA"	"AL357140.4"
"protein_coding"	"LZIC"
"lncRNA"	"AL357140.2"
"protein_coding"	"NMNAT1"
"lncRNA"	"AL603962.1"
"protein_coding"	"RBP7"
"protein_coding"	"UBE4B"
"protein_coding"	"KIF1B"
"lncRNA"	"AL139424.3"
"lncRNA"	"AL139424.2"
"protein_coding"	"PGD"
"lncRNA"	"AL139424.1"
"protein_coding"	"CENPS"
"protein_coding"	"CORT"
"protein_coding"	"DFFA"
"lncRNA"	"AL354956.1"
"protein_coding"	"PEX14"
"lncRNA"	"AL139423.2"
"protein_coding"	"CASZ1"
"lncRNA"	"AL139423.1"
"protein_coding"	"C1orf127"
"protein_coding"	"TARDBP"
"protein_coding"	"MASP2"
"lncRNA"	"AL109811.2"
"protein_coding"	"SRM"
"protein_coding"	"EXOSC10"
"lncRNA"	"AL109811.1"
"lncRNA"	"EXOSC10-AS1"
"protein_coding"	"MTOR"
"lncRNA"	"MTOR-AS1"
"protein_coding"	"ANGPTL7"
"protein_coding"	"UBIAD1"
"lncRNA"	"AL031291.1"
"protein_coding"	"DISP3"
"lncRNA"	"AL590989.1"
"lncRNA"	"LINC01647"
"lncRNA"	"AL031731.1"
"protein_coding"	"FBXO2"
"protein_coding"	"FBXO44"
"protein_coding"	"FBXO6"
"protein_coding"	"MAD2L2"
"protein_coding"	"DRAXIN"
"protein_coding"	"AGTRAP"
"protein_coding"	"C1orf167"
"lncRNA"	"AL953897.1"
"protein_coding"	"MTHFR"
"protein_coding"	"CLCN6"
"protein_coding"	"NPPA"
"protein_coding"	"NPPB"
"lncRNA"	"AL021155.5"
"protein_coding"	"KIAA2013"
"protein_coding"	"PLOD1"
"lncRNA"	"AL096840.2"
"protein_coding"	"MFN2"
"protein_coding"	"MIIP"
"protein_coding"	"TNFRSF8"
"lncRNA"	"AL357835.1"
"protein_coding"	"TNFRSF1B"
"protein_coding"	"VPS13D"
"lncRNA"	"LINC02766"
"protein_coding"	"DHRS3"
"lncRNA"	"AC254633.1"
"protein_coding"	"AADACL4"
"protein_coding"	"AADACL3"
"protein_coding"	"C1orf158"
"protein_coding"	"PRAMEF12"
"protein_coding"	"PRAMEF1"
"lncRNA"	"LINC01784"
"protein_coding"	"PRAMEF11"
"protein_coding"	"HNRNPCL1"
"protein_coding"	"PRAMEF2"
"protein_coding"	"PRAMEF4"
"protein_coding"	"PRAMEF10"
"protein_coding"	"PRAMEF7"
"protein_coding"	"PRAMEF6"
"protein_coding"	"PRAMEF27"
"protein_coding"	"HNRNPCL3"
"protein_coding"	"PRAMEF25"
"protein_coding"	"HNRNPCL2"
"lncRNA"	"AC245056.1"
"protein_coding"	"PRAMEF26"
"protein_coding"	"HNRNPCL4"
"protein_coding"	"PRAMEF9"
"protein_coding"	"PRAMEF13"
"protein_coding"	"PRAMEF18"
"protein_coding"	"PRAMEF5"
"protein_coding"	"PRAMEF8"
"protein_coding"	"PRAMEF33"
"protein_coding"	"PRAMEF15"
"lncRNA"	"AC243961.1"
"protein_coding"	"PRAMEF14"
"protein_coding"	"PRAMEF19"
"protein_coding"	"PRAMEF17"
"protein_coding"	"PRAMEF20"
"protein_coding"	"LRRC38"
"lncRNA"	"AL354712.1"
"protein_coding"	"PDPN"
"lncRNA"	"AL359771.1"
"protein_coding"	"PRDM2"
"protein_coding"	"KAZN"
"lncRNA"	"AL357873.1"
"lncRNA"	"KAZN-AS1"
"lncRNA"	"AL031293.1"
"lncRNA"	"TMEM51-AS1"
"protein_coding"	"TMEM51"
"lncRNA"	"C1orf195"
"protein_coding"	"FHAD1"
"lncRNA"	"AL031283.2"
"lncRNA"	"AL031283.3"
"lncRNA"	"AL031283.1"
"protein_coding"	"EFHD2"
"protein_coding"	"CTRC"
"protein_coding"	"CELA2A"
"protein_coding"	"CELA2B"
"protein_coding"	"CASP9"
"protein_coding"	"DNAJC16"
"lncRNA"	"AL121992.3"
"protein_coding"	"AGMAT"
"lncRNA"	"AL121992.1"
"protein_coding"	"DDI2"
"protein_coding"	"RSC1A1"
"lncRNA"	"AL121992.2"
"protein_coding"	"PLEKHM2"
"lncRNA"	"AL450998.3"
"protein_coding"	"SLC25A34"
"lncRNA"	"SLC25A34-AS1"
"protein_coding"	"TMEM82"
"protein_coding"	"FBLIM1"
"protein_coding"	"UQCRHL"
"lncRNA"	"AL450998.2"
"protein_coding"	"SPEN"
"protein_coding"	"ZBTB17"
"protein_coding"	"SRARP"
"lncRNA"	"AL355994.3"
"protein_coding"	"HSPB7"
"protein_coding"	"CLCNKA"
"protein_coding"	"CLCNKB"
"protein_coding"	"FAM131C"
"protein_coding"	"EPHA2"
"lncRNA"	"AL451042.2"
"lncRNA"	"AL451042.1"
"lncRNA"	"ARHGEF19-AS1"
"protein_coding"	"ARHGEF19"
"lncRNA"	"AL109627.1"
"protein_coding"	"CPLANE2"
"protein_coding"	"FBXO42"
"protein_coding"	"SZRD1"
"protein_coding"	"SPATA21"
"protein_coding"	"NECAP2"
"lncRNA"	"LINC01772"
"lncRNA"	"AL137802.2"
"lncRNA"	"AL137802.1"
"lncRNA"	"LINC01783"
"protein_coding"	"NBPF1"
"lncRNA"	"AL137798.1"
"lncRNA"	"AL137798.2"
"lncRNA"	"AL021920.1"
"lncRNA"	"AL021920.3"
"protein_coding"	"CROCC"
"lncRNA"	"BX284668.1"
"lncRNA"	"BX284668.2"
"lncRNA"	"BX284668.5"
"lncRNA"	"BX284668.6"
"protein_coding"	"MFAP2"
"lncRNA"	"AL049569.2"
"lncRNA"	"AL049569.1"
"protein_coding"	"ATP13A2"
"protein_coding"	"SDHB"
"protein_coding"	"PADI2"
"lncRNA"	"LINC02783"
"lncRNA"	"AL590644.1"
"protein_coding"	"PADI1"
"protein_coding"	"PADI3"
"protein_coding"	"PADI4"
"protein_coding"	"PADI6"
"lncRNA"	"RCC2-AS1"
"protein_coding"	"RCC2"
"protein_coding"	"ARHGEF10L"
"lncRNA"	"LINC02810"
"protein_coding"	"ACTL8"
"lncRNA"	"AL357509.1"
"lncRNA"	"LINC01654"
"protein_coding"	"IGSF21"
"lncRNA"	"IGSF21-AS1"
"lncRNA"	"AL591896.1"
"protein_coding"	"KLHDC7A"
"protein_coding"	"PAX7"
"protein_coding"	"TAS1R2"
"protein_coding"	"ALDH4A1"
"protein_coding"	"IFFO2"
"lncRNA"	"AL137127.1"
"protein_coding"	"UBR4"
"lncRNA"	"EMC1-AS1"
"protein_coding"	"EMC1"
"protein_coding"	"MRTO4"
"protein_coding"	"AKR7A3"
"protein_coding"	"AKR7A2"
"protein_coding"	"SLC66A1"
"protein_coding"	"CAPZB"
"protein_coding"	"MICOS10"
"lncRNA"	"AL031727.2"
"protein_coding"	"NBL1"
"protein_coding"	"HTR6"
"protein_coding"	"TMCO4"
"protein_coding"	"RNF186"
"lncRNA"	"AL391883.1"
"protein_coding"	"OTUD3"
"protein_coding"	"PLA2G2E"
"protein_coding"	"PLA2G2A"
"protein_coding"	"PLA2G5"
"protein_coding"	"PLA2G2D"
"protein_coding"	"PLA2G2F"
"lncRNA"	"Z98257.1"
"protein_coding"	"PLA2G2C"
"lncRNA"	"UBXN10-AS1"
"protein_coding"	"UBXN10"
"lncRNA"	"LINC01757"
"lncRNA"	"Z98257.2"
"protein_coding"	"VWA5B1"
"lncRNA"	"AL020998.1"
"lncRNA"	"LINC01141"
"lncRNA"	"AL139254.1"
"lncRNA"	"AL139254.2"
"lncRNA"	"AL139254.3"
"protein_coding"	"CAMK2N1"
"protein_coding"	"MUL1"
"protein_coding"	"FAM43B"
"protein_coding"	"CDA"
"protein_coding"	"PINK1"
"lncRNA"	"PINK1-AS"
"protein_coding"	"DDOST"
"protein_coding"	"KIF17"
"protein_coding"	"SH2D5"
"lncRNA"	"AL663074.1"
"protein_coding"	"HP1BP3"
"protein_coding"	"EIF4G3"
"lncRNA"	"AL031005.2"
"protein_coding"	"ECE1"
"lncRNA"	"AL031005.1"
"lncRNA"	"AL031728.1"
"lncRNA"	"AL592309.2"
"protein_coding"	"NBPF3"
"protein_coding"	"ALPL"
"lncRNA"	"LINC02596"
"protein_coding"	"RAP1GAP"
"protein_coding"	"USP48"
"protein_coding"	"LDLRAD2"
"protein_coding"	"HSPG2"
"protein_coding"	"CELA3B"
"protein_coding"	"CELA3A"
"lncRNA"	"LINC01635"
"lncRNA"	"LINC00339"
"protein_coding"	"CDC42"
"lncRNA"	"CDC42-AS1"
"lncRNA"	"CDC42-IT1"
"protein_coding"	"WNT4"
"lncRNA"	"AL445253.1"
"protein_coding"	"ZBTB40"
"lncRNA"	"ZBTB40-IT1"
"protein_coding"	"EPHA8"
"protein_coding"	"C1QA"
"protein_coding"	"C1QC"
"protein_coding"	"C1QB"
"protein_coding"	"EPHB2"
"lncRNA"	"AL512444.1"
"protein_coding"	"LACTBL1"
"protein_coding"	"TEX46"
"protein_coding"	"KDM1A"
"lncRNA"	"AL031428.1"
"protein_coding"	"LUZP1"
"protein_coding"	"HTR1D"
"lncRNA"	"LINC01355"
"lncRNA"	"AL109936.6"
"protein_coding"	"HNRNPR"
"protein_coding"	"ZNF436"
"lncRNA"	"ZNF436-AS1"
"lncRNA"	"AL109936.2"
"protein_coding"	"TCEA3"
"protein_coding"	"ASAP3"
"protein_coding"	"E2F2"
"lncRNA"	"AL021154.1"
"protein_coding"	"ID3"
"lncRNA"	"AL450043.1"
"lncRNA"	"MDS2"
"protein_coding"	"RPL11"
"lncRNA"	"ELOA-AS1"
"protein_coding"	"ELOA"
"protein_coding"	"PITHD1"
"protein_coding"	"LYPLA2"
"protein_coding"	"GALE"
"protein_coding"	"HMGCL"
"protein_coding"	"FUCA1"
"protein_coding"	"CNR2"
"lncRNA"	"AL590609.3"
"protein_coding"	"PNRC2"
"protein_coding"	"SRSF10"
"lncRNA"	"AL591178.1"
"protein_coding"	"MYOM3"
"lncRNA"	"AL591178.2"
"protein_coding"	"IL22RA1"
"protein_coding"	"IFNLR1"
"lncRNA"	"LINC02800"
"lncRNA"	"AL138902.1"
"protein_coding"	"GRHL3"
"protein_coding"	"STPG1"
"protein_coding"	"NIPAL3"
"lncRNA"	"RCAN3AS"
"protein_coding"	"RCAN3"
"lncRNA"	"NCMAP-DT"
"protein_coding"	"NCMAP"
"protein_coding"	"SRRM1"
"lncRNA"	"AL445648.1"
"protein_coding"	"CLIC4"
"protein_coding"	"RUNX3"
"lncRNA"	"AL445471.1"
"lncRNA"	"AL445471.2"
"lncRNA"	"LINC02793"
"lncRNA"	"AL050344.1"
"lncRNA"	"AL031432.1"
"protein_coding"	"SYF2"
"lncRNA"	"AL031432.4"
"lncRNA"	"AL031432.5"
"protein_coding"	"RSRP1"
"lncRNA"	"AL031432.3"
"protein_coding"	"RHD"
"protein_coding"	"TMEM50A"
"protein_coding"	"RHCE"
"protein_coding"	"MACO1"
"protein_coding"	"LDLRAP1"
"lncRNA"	"AL606491.1"
"protein_coding"	"MAN1C1"
"lncRNA"	"AL031280.1"
"protein_coding"	"SELENON"
"lncRNA"	"AL020996.1"
"protein_coding"	"MTFR1L"
"lncRNA"	"AL020996.3"
"protein_coding"	"AUNIP"
"lncRNA"	"AL033528.2"
"protein_coding"	"PAQR7"
"protein_coding"	"STMN1"
"protein_coding"	"PAFAH2"
"protein_coding"	"EXTL1"
"protein_coding"	"SLC30A2"
"lncRNA"	"AL391650.2"
"protein_coding"	"TRIM63"
"protein_coding"	"PDIK1L"
"protein_coding"	"FAM110D"
"protein_coding"	"C1orf232"
"protein_coding"	"AL391650.1"
"protein_coding"	"ZNF593"
"protein_coding"	"CNKSR1"
"protein_coding"	"CATSPER4"
"protein_coding"	"CEP85"
"protein_coding"	"SH3BGRL3"
"protein_coding"	"UBXN11"
"protein_coding"	"CD52"
"protein_coding"	"CRYBG2"
"protein_coding"	"ZNF683"
"protein_coding"	"LIN28A"
"protein_coding"	"DHDDS"
"lncRNA"	"AL513365.2"
"protein_coding"	"HMGN2"
"protein_coding"	"RPS6KA1"
"lncRNA"	"AL512408.1"
"protein_coding"	"ARID1A"
"protein_coding"	"PIGV"
"protein_coding"	"ZDHHC18"
"protein_coding"	"SFN"
"protein_coding"	"GPN2"
"lncRNA"	"AL034380.1"
"protein_coding"	"GPATCH3"
"protein_coding"	"NUDC"
"protein_coding"	"NR0B2"
"protein_coding"	"KDF1"
"protein_coding"	"TRNP1"
"protein_coding"	"TENT5B"
"protein_coding"	"SLC9A1"
"lncRNA"	"AL590640.1"
"protein_coding"	"WDTC1"
"protein_coding"	"TMEM222"
"protein_coding"	"SYTL1"
"protein_coding"	"MAP3K6"
"protein_coding"	"FCN3"
"protein_coding"	"CD164L2"
"protein_coding"	"GPR3"
"protein_coding"	"WASF2"
"lncRNA"	"FO393419.2"
"lncRNA"	"BX293535.1"
"protein_coding"	"AHDC1"
"protein_coding"	"FGR"
"lncRNA"	"LINC02574"
"protein_coding"	"IFI6"
"lncRNA"	"AL445490.1"
"lncRNA"	"AL020997.5"
"protein_coding"	"FAM76A"
"protein_coding"	"STX12"
"lncRNA"	"AL020997.2"
"lncRNA"	"AL020997.3"
"lncRNA"	"AL020997.4"
"protein_coding"	"PPP1R8"
"protein_coding"	"THEMIS2"
"protein_coding"	"RPA2"
"protein_coding"	"SMPDL3B"
"lncRNA"	"AL512288.1"
"protein_coding"	"XKR8"
"protein_coding"	"EYA3"
"protein_coding"	"PTAFR"
"protein_coding"	"DNAJC8"
"protein_coding"	"ATP5IF1"
"lncRNA"	"AL353622.1"
"lncRNA"	"AL353622.2"
"protein_coding"	"SESN2"
"protein_coding"	"MED18"
"protein_coding"	"PHACTR4"
"protein_coding"	"RCC1"
"lncRNA"	"SNHG3"
"protein_coding"	"TRNAU1AP"
"lncRNA"	"SNHG12"
"protein_coding"	"TAF12"
"protein_coding"	"RAB42"
"lncRNA"	"LINC01715"
"lncRNA"	"AL360012.1"
"protein_coding"	"GMEB1"
"protein_coding"	"YTHDF2"
"protein_coding"	"OPRD1"
"lncRNA"	"AL009181.1"
"protein_coding"	"EPB41"
"protein_coding"	"TMEM200B"
"lncRNA"	"AL357500.1"
"protein_coding"	"SRSF4"
"protein_coding"	"MECR"
"lncRNA"	"AL590729.1"
"protein_coding"	"PTPRU"
"lncRNA"	"LINC01756"
"lncRNA"	"AC092265.1"
"lncRNA"	"AL645944.2"
"lncRNA"	"LINC01648"
"lncRNA"	"AL137076.1"
"lncRNA"	"AL161638.2"
"lncRNA"	"AL161638.1"
"protein_coding"	"MATN1"
"lncRNA"	"MATN1-AS1"
"lncRNA"	"AL137857.1"
"protein_coding"	"LAPTM5"
"lncRNA"	"AL137027.1"
"lncRNA"	"LINC01778"
"lncRNA"	"AL445235.1"
"protein_coding"	"SDC3"
"protein_coding"	"PUM1"
"protein_coding"	"NKAIN1"
"protein_coding"	"SNRNP40"
"protein_coding"	"ZCCHC17"
"lncRNA"	"AL451070.1"
"protein_coding"	"FABP3"
"protein_coding"	"SERINC2"
"lncRNA"	"LINC01226"
"lncRNA"	"AC114488.1"
"protein_coding"	"TINAGL1"
"protein_coding"	"HCRTR1"
"protein_coding"	"PEF1"
"lncRNA"	"AC114488.2"
"lncRNA"	"AC114488.3"
"protein_coding"	"COL16A1"
"protein_coding"	"ADGRB2"
"lncRNA"	"AL354919.2"
"protein_coding"	"SPOCD1"
"lncRNA"	"AL354919.1"
"lncRNA"	"AL136115.2"
"protein_coding"	"PTP4A2"
"lncRNA"	"AL136115.1"
"lncRNA"	"AL136115.3"
"protein_coding"	"KHDRBS1"
"lncRNA"	"AL445248.1"
"protein_coding"	"TMEM39B"
"protein_coding"	"KPNA6"
"lncRNA"	"AL049795.2"
"protein_coding"	"TXLNA"
"protein_coding"	"CCDC28B"
"lncRNA"	"AL049795.1"
"protein_coding"	"IQCC"
"protein_coding"	"DCDC2B"
"protein_coding"	"TMEM234"
"protein_coding"	"EIF3I"
"protein_coding"	"FAM167B"
"protein_coding"	"LCK"
"protein_coding"	"HDAC1"
"protein_coding"	"MARCKSL1"
"lncRNA"	"AL109945.1"
"protein_coding"	"TSSK3"
"protein_coding"	"FAM229A"
"protein_coding"	"BSDC1"
"protein_coding"	"ZBTB8B"
"protein_coding"	"ZBTB8A"
"protein_coding"	"ZBTB8OS"
"protein_coding"	"RBBP4"
"protein_coding"	"SYNC"
"lncRNA"	"AC114489.1"
"protein_coding"	"KIAA1522"
"protein_coding"	"YARS"
"protein_coding"	"S100PBP"
"protein_coding"	"FNDC5"
"protein_coding"	"HPCA"
"protein_coding"	"TMEM54"
"lncRNA"	"AL031602.2"
"protein_coding"	"RNF19B"
"lncRNA"	"AL020995.1"
"protein_coding"	"AK2"
"protein_coding"	"AZIN2"
"protein_coding"	"TRIM62"
"lncRNA"	"AL662907.3"
"protein_coding"	"ZNF362"
"lncRNA"	"AL513327.3"
"protein_coding"	"A3GALT2"
"lncRNA"	"AL513327.1"
"protein_coding"	"PHC2"
"lncRNA"	"AL513327.2"
"protein_coding"	"ZSCAN20"
"protein_coding"	"CSMD2"
"protein_coding"	"HMGB4"
"lncRNA"	"CSMD2-AS1"
"protein_coding"	"C1orf94"
"lncRNA"	"AC099565.1"
"protein_coding"	"SMIM12"
"protein_coding"	"GJB5"
"protein_coding"	"GJB4"
"lncRNA"	"AL121988.1"
"protein_coding"	"GJB3"
"protein_coding"	"GJA4"
"lncRNA"	"AL122010.1"
"protein_coding"	"DLGAP3"
"protein_coding"	"TMEM35B"
"protein_coding"	"ZMYM6"
"protein_coding"	"ZMYM1"
"lncRNA"	"AL590434.1"
"protein_coding"	"SFPQ"
"protein_coding"	"ZMYM4"
"lncRNA"	"ZMYM4-AS1"
"protein_coding"	"KIAA0319L"
"protein_coding"	"NCDN"
"lncRNA"	"AC004865.2"
"protein_coding"	"TFAP2E"
"protein_coding"	"PSMB2"
"protein_coding"	"C1orf216"
"protein_coding"	"CLSPN"
"lncRNA"	"AL354864.1"
"protein_coding"	"AGO4"
"protein_coding"	"AGO1"
"lncRNA"	"AL139286.3"
"lncRNA"	"AL139286.2"
"protein_coding"	"AGO3"
"lncRNA"	"AL138787.2"
"protein_coding"	"TEKT2"
"protein_coding"	"ADPRHL2"
"protein_coding"	"COL8A2"
"protein_coding"	"TRAPPC3"
"protein_coding"	"MAP7D1"
"protein_coding"	"THRAP3"
"protein_coding"	"SH3D21"
"protein_coding"	"EVA1B"
"lncRNA"	"AL591845.1"
"protein_coding"	"STK40"
"protein_coding"	"LSM10"
"protein_coding"	"OSCP1"
"protein_coding"	"MRPS15"
"protein_coding"	"CSF3R"
"lncRNA"	"AL596257.1"
"lncRNA"	"AC117945.2"
"lncRNA"	"AC117945.1"
"protein_coding"	"GRIK3"
"lncRNA"	"AL031430.1"
"lncRNA"	"AL353604.1"
"lncRNA"	"LINC01137"
"protein_coding"	"ZC3H12A"
"protein_coding"	"MEAF6"
"protein_coding"	"SNIP1"
"protein_coding"	"DNALI1"
"protein_coding"	"GNL2"
"lncRNA"	"AL513220.1"
"protein_coding"	"RSPO1"
"protein_coding"	"C1orf109"
"protein_coding"	"CDCA8"
"protein_coding"	"EPHA10"
"protein_coding"	"MANEAL"
"lncRNA"	"AL929472.3"
"protein_coding"	"YRDC"
"protein_coding"	"C1orf122"
"protein_coding"	"MTF1"
"lncRNA"	"AL929472.2"
"protein_coding"	"INPP5B"
"protein_coding"	"SF3A3"
"protein_coding"	"FHL3"
"protein_coding"	"UTP11"
"protein_coding"	"POU3F1"
"lncRNA"	"MIR3659HG"
"lncRNA"	"LINC02786"
"lncRNA"	"AL390839.1"
"lncRNA"	"AL390839.2"
"lncRNA"	"LINC01343"
"lncRNA"	"LINC01685"
"lncRNA"	"AL354702.2"
"protein_coding"	"RRAGC"
"lncRNA"	"AL139260.1"
"protein_coding"	"MYCBP"
"protein_coding"	"GJA9"
"protein_coding"	"RHBDL2"
